code,image_path,source_pdf,page,match_type,confidence,notes
LC0-230,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-230.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-240,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-240.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-250,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-250.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-260,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-260.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-270,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-270.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-280,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-280.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LC0-290,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LC0-290.png,dors-listino-260401.pdf,30,direct_grid,high,direct code-under-drawing crop
LFQ-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-010.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-020.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-030.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-040.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-050.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-060.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-070.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-080.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFQ-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFQ-090.png,dors-listino-260401.pdf,25,direct_grid,high,direct code-under-drawing crop
LFV-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-010.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-020.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-021,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-021.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-030.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-031,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-031.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-040.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-050.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-060,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-060.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-070,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-070.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-071,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-071.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-080,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-080.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-090,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-090.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-100,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-100.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
LFV-110,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/LFV-110.png,dors-listino-260401.pdf,27,direct_grid,high,direct code-under-drawing crop
SBQ-010,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/SBQ-010.png,dors-cleur-print-3d-catalogue-250402.pdf,10,hero_single_code_page,medium_high,single-code hero/page image fallback
SBQ-020,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/SBQ-020.png,dors-cleur-print-3d-catalogue-250402.pdf,11,hero_single_code_page,medium_high,single-code hero/page image fallback
SBQ-030,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/SBQ-030.png,dors-cleur-print-3d-catalogue-250402.pdf,9,hero_single_code_page,medium_high,single-code hero/page image fallback
SBQ-040,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/SBQ-040.png,dors-cleur-print-3d-catalogue-250402.pdf,7,hero_single_code_page,medium_high,single-code hero/page image fallback
SBQ-050,/home/claw/.hermes/exports/dors-variation-image-library-2026-04-21/images/SBQ-050.png,dors-cleur-print-3d-catalogue-250402.pdf,8,hero_single_code_page,medium_high,single-code hero/page image fallback
